Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban,Curah Hujan,SS,Kecepatan Angin_Max,Arah_Angin_deg,Kecepatan Angin_Avg,Arah Angin,Kota/Kabupaten,Suhu_Rata_Calc,Is_Rain,Hari,Bulan,Tahun,Suhu_7d_mean,Hujan_7d_sum,Wind_Category_Max,Wind_Category_Avg,Kategori Hujan,Musim
2019-01-01,21.8,28.0,23.0,79.0,0.0,1.7,3.0,280.0,2.0,W ,Bandung,24.9,False,Tuesday,1,2019,24.9,0.0,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-01-02,20.3,31.0,23.9,78.0,1.0,5.0,5.0,270.0,2.0,W ,Bandung,25.65,True,Wednesday,1,2019,25.275,1.0,Windy,Breeze,Hujan Ringan,Musim Hujan
2019-01-03,20.8,28.2,23.0,89.0,0.4,5.6,3.0,290.0,1.0,C ,Bandung,24.5,True,Thursday,1,2019,25.016666666666666,1.4,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-01-04,20.0,30.6,23.1,84.0,0.9,2.7,3.0,280.0,1.0,SE,Bandung,25.3,True,Friday,1,2019,25.0875,2.3,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-01-05,22.0,29.4,25.1,81.0,6.1,4.3,5.0,250.0,2.0,W ,Bandung,25.7,True,Saturday,1,2019,25.21,8.399999999999999,Windy,Breeze,Hujan Ringan,Musim Hujan
2019-01-06,19.0,30.0,22.8,78.0,0.0,8.2,7.0,120.0,2.0,C ,Bandung,24.5,False,Sunday,1,2019,25.09166666666667,8.399999999999999,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-01-07,18.0,30.2,23.1,68.0,0.0,8.8,3.0,270.0,1.0,NW,Bandung,24.1,False,Monday,1,2019,24.95,8.399999999999999,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-01-08,18.0,30.6,22.9,65.0,0.0,9.4,5.0,210.0,2.0,E ,Bandung,24.3,False,Tuesday,1,2019,24.86428571428571,8.399999999999999,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-01-09,18.0,31.4,23.3,69.0,0.0,8.3,5.0,120.0,2.0,C ,Bandung,24.7,False,Wednesday,1,2019,24.728571428571428,7.3999999999999995,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-01-10,18.0,33.0,24.6,61.0,0.0,6.5,5.0,120.0,3.0,E ,Bandung,25.5,False,Thursday,1,2019,24.871428571428574,6.999999999999999,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-01-11,21.0,29.3,23.6,81.0,2.5,5.9,4.0,120.0,1.0,E ,Bandung,25.15,True,Friday,1,2019,24.849999999999998,8.6,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-01-12,21.0,30.4,24.7,78.0,0.8,5.3,3.0,200.0,1.0,C ,Bandung,25.7,True,Saturday,1,2019,24.85,3.3,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-02-01,20.8,31.0,24.0,74.0,13.5,1.9,8.0,250.0,3.5,W ,Bandung,25.9,True,Friday,2,2019,25.05,16.8,Windy,Breeze,Hujan Ringan,Musim Hujan
2019-02-02,20.2,31.2,24.8,70.0,2.3,7.1,5.0,260.0,3.0,W ,Bandung,25.7,True,Saturday,2,2019,25.27857142857143,19.1,Windy,Breeze,Hujan Ringan,Musim Hujan
2019-02-03,20.4,29.8,23.6,82.0,51.1,0.9,5.0,240.0,2.0,W ,Bandung,25.1,True,Sunday,2,2019,25.392857142857142,70.2,Windy,Breeze,Hujan Lebat,Musim Hujan
2019-02-04,20.1,28.6,23.1,85.0,0.0,4.6,3.0,300.0,2.0,C ,Bandung,24.35,False,Monday,2,2019,25.342857142857138,70.2,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-02-05,21.6,30.4,24.5,76.0,0.0,5.4,5.0,290.0,2.0,E ,Bandung,26.0,False,Tuesday,2,2019,25.41428571428571,70.2,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-02-06,19.0,29.8,23.5,78.0,5.1,7.3,3.0,140.0,2.0,C ,Bandung,24.4,True,Wednesday,2,2019,25.307142857142857,72.8,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-02-07,18.0,30.0,23.7,70.0,0.0,9.3,6.0,180.0,2.0,S ,Bandung,24.0,False,Thursday,2,2019,25.064285714285713,72.0,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-02-08,18.0,30.6,23.7,70.0,0.0,9.2,5.0,300.0,2.0,SE,Bandung,24.3,False,Friday,2,2019,24.835714285714285,58.50000000000001,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-02-09,18.0,32.0,23.7,74.0,0.0,7.2,4.0,50.0,2.0,SE,Bandung,25.0,False,Saturday,2,2019,24.735714285714288,56.2,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-02-10,18.0,32.4,25.0,60.0,0.0,7.6,8.0,60.0,3.5,E ,Bandung,25.2,False,Sunday,2,2019,24.75,5.1,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-02-11,21.0,28.6,22.6,90.0,60.4375,0.9,3.0,270.0,1.0,C ,Bandung,24.8,True,Monday,2,2019,24.814285714285713,65.5375,Breeze,Breeze,Hujan Lebat,Musim Hujan
2019-02-12,20.0,29.6,24.2,81.0,0.2,5.1,2.0,280.0,1.0,C ,Bandung,24.8,True,Tuesday,2,2019,24.642857142857142,65.7375,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-03-01,20.7,30.6,24.1,76.0,0.8,7.2,7.0,260.0,3.5,W ,Bandung,25.65,True,Friday,3,2019,24.821428571428573,61.4375,Windy,Breeze,Hujan Ringan,Musim Hujan
2019-03-02,21.2,30.0,24.7,80.0,2.2,8.5,3.0,260.0,1.0,C ,Bandung,25.6,True,Saturday,3,2019,25.050000000000004,63.6375,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-03-03,20.2,29.4,22.8,87.0,9.0,2.8,4.0,290.0,1.0,C ,Bandung,24.799999999999997,True,Sunday,3,2019,25.12142857142857,72.6375,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-03-04,18.9,30.4,23.2,80.0,11.0,4.4,3.0,160.0,2.0,C ,Bandung,24.65,True,Monday,3,2019,25.071428571428573,83.6375,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-03-05,21.0,31.2,24.4,80.0,0.6,5.7,4.0,300.0,2.0,C ,Bandung,26.1,True,Tuesday,3,2019,25.2,84.2375,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-03-06,19.0,28.0,22.9,78.0,0.2,8.3,3.0,40.0,1.0,C ,Bandung,23.5,True,Wednesday,3,2019,25.014285714285712,24.0,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-03-07,19.0,30.8,23.9,70.0,0.0,8.5,5.0,320.0,2.0,E ,Bandung,24.9,False,Thursday,3,2019,25.028571428571432,23.8,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-03-08,18.0,30.0,22.1,70.0,0.0,5.3,5.0,90.0,2.0,SE,Bandung,24.0,False,Friday,3,2019,24.792857142857144,23.0,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-03-09,19.0,31.2,24.3,71.0,0.0,8.8,4.0,70.0,2.0,E ,Bandung,25.1,False,Saturday,3,2019,24.721428571428568,20.8,Breeze,Breeze,Tidak Hujan,Musim Hujan
2019-03-10,20.0,31.8,24.8,66.0,0.0,7.0,5.0,180.0,3.0,NE,Bandung,25.9,False,Sunday,3,2019,24.87857142857143,11.8,Windy,Breeze,Tidak Hujan,Musim Hujan
2019-03-11,20.0,29.2,23.5,80.0,15.5,1.9,3.0,120.0,1.0,C ,Bandung,24.6,True,Monday,3,2019,24.87142857142857,16.3,Breeze,Breeze,Hujan Ringan,Musim Hujan
2019-03-12,21.0,29.8,24.1,81.0,60.4375,2.5,3.0,290.0,2.0,W ,Bandung,25.4,True,Tuesday,3,2019,24.771428571428572,76.1375,Breeze,Breeze,Hujan Lebat,Musim Hujan
2019-04-01,20.0,30.8,24.2,69.0,0.0,5.5,5.0,210.0,3.0,W ,Bandung,25.4,False,Monday,4,2019,25.042857142857144,75.9375,Windy,Breeze,Tidak Hujan,Musim Hujan
