Tanggal,Kota/Kabupaten,Suhu Maksimum,Suhu Minimum,Suhu Rata-rata,Curah Hujan,Kelembaban,Kecepatan Angin_Max,Kecepatan Angin_Avg,Arah_Angin_deg,Arah Angin,SS
2019-01-01,Bandung,28.0,21.8,23.0,0.0,79.0,3.0,2.0,280.0,W ,1.7
2019-01-02,Bandung,31.0,20.8,24.0,13.5,74.0,8.0,3.5,250.0,W ,1.9
2019-01-03,Bandung,30.6,20.7,24.1,0.8,76.0,7.0,3.5,260.0,W ,7.2
2019-01-04,Bandung,30.8,20.0,24.2,0.0,69.0,5.0,3.0,210.0,W ,5.5
2019-01-05,Bandung,31.7,20.0,24.8,0.0,70.0,5.0,3.0,300.0,C ,8.5
2019-01-06,Bandung,30.4,20.9,24.7,0.0,74.0,5.0,2.0,120.0,SE,9.0
2019-01-07,Bandung,29.8,21.2,24.5,0.0,79.0,2.0,1.0,140.0,C ,4.9
2019-01-08,Bandung,29.6,21.2,23.8,27.999999999999996,84.0,4.0,1.0,270.0,C ,3.5
2019-01-09,Bandung,28.8,21.2,23.6,18.9,85.0,4.0,2.0,270.0,C ,3.1
2019-01-10,Bandung,29.2,20.2,23.7,5.1,82.0,5.0,1.0,120.0,C ,4.7
2019-01-11,Bandung,30.2,20.2,23.3,4.7,85.0,5.0,2.0,280.0,C ,3.4
2019-01-12,Bandung,30.4,20.0,23.8,2.5,82.0,5.0,2.0,240.0,C ,5.4
2019-01-13,Bandung,29.2,20.4,22.6,21.0,87.0,5.0,1.0,240.0,C ,7.5
2019-01-14,Bandung,26.6,19.2,22.5,27.999999999999996,85.0,4.0,1.0,280.0,C ,3.2
2019-01-15,Bandung,29.4,19.0,24.0,4.4,82.0,5.0,1.0,300.0,C ,0.8
2019-01-16,Bandung,28.0,21.2,24.1,3.3,78.0,6.0,3.5,300.0,NW,5.8
2019-01-17,Bandung,28.8,21.8,24.4,0.0,76.0,6.0,3.0,260.0,W ,1.4
2019-01-18,Bandung,29.4,20.8,23.7,4.5,83.0,6.0,2.0,270.0,W ,4.4
2019-01-19,Bandung,29.4,21.0,24.0,4.8,80.0,5.0,2.0,280.0,W ,6.2
2019-01-20,Bandung,30.2,20.7,24.0,0.2,80.0,6.0,2.0,300.0,NW,5.0
2019-01-21,Bandung,29.6,20.8,23.4,6.7,83.0,6.0,2.0,300.0,W ,6.0
2019-01-22,Bandung,26.299999999999997,20.8,22.4,4.4,85.0,5.0,2.0,300.0,W ,5.5
2019-01-23,Bandung,26.8,20.0,23.2,5.3,81.0,6.0,3.5,280.0,NW,0.0
2019-01-24,Bandung,29.0,21.0,23.7,0.4,82.0,8.0,3.0,280.0,W ,2.4
2019-01-25,Bandung,27.8,20.4,23.4,5.4,75.0,5.0,2.0,280.0,W ,5.8
2019-01-26,Bandung,29.2,21.0,24.6,0.4,74.0,5.0,3.0,270.0,W ,2.9
2019-01-27,Bandung,26.299999999999997,21.0,23.0,8.6,84.0,5.0,3.0,260.0,W ,7.6
2019-01-28,Bandung,27.4,19.2,23.0,0.2,82.0,5.0,3.0,270.0,SW,0.0
2019-01-29,Bandung,27.7,19.6,23.8,0.0,78.0,6.0,3.0,310.0,NW,1.3
2019-01-30,Bandung,28.2,20.8,23.6,0.6,81.0,5.0,2.0,270.0,W ,3.0
2019-01-31,Bandung,29.4,20.2,23.2,0.2,75.0,5.0,2.0,290.0,W ,4.8
2019-02-01,Bandung,31.0,20.3,23.9,1.0,78.0,5.0,2.0,270.0,W ,5.0
2019-02-02,Bandung,31.2,20.2,24.8,2.3,70.0,5.0,3.0,260.0,W ,7.1
2019-02-03,Bandung,30.0,21.2,24.7,2.2,80.0,3.0,1.0,260.0,C ,8.5
2019-02-04,Bandung,31.0,21.2,24.3,0.2,76.0,5.0,2.0,290.0,SW,4.7
2019-02-05,Bandung,30.8,21.2,24.7,0.5,77.0,6.0,3.0,270.0,W ,5.7
2019-02-06,Bandung,31.0,21.4,24.8,0.0,75.0,5.0,2.0,240.0,C ,7.8
2019-02-07,Bandung,29.4,20.0,23.4,6.0,83.0,4.0,1.0,80.0,C ,6.8
2019-02-08,Bandung,29.8,20.1,23.8,27.999999999999996,79.0,4.0,2.0,130.0,C ,3.4
2019-02-09,Bandung,29.5,21.2,24.4,1.3,79.0,4.0,2.0,260.0,W ,5.5
2019-02-10,Bandung,30.0,20.2,23.1,27.999999999999996,84.0,4.0,2.0,240.0,C ,4.0
2019-02-11,Bandung,29.4,20.4,23.5,27.999999999999996,85.0,5.0,2.0,240.0,C ,4.5
2019-02-12,Bandung,29.0,20.0,23.0,1.3,85.0,4.0,1.0,300.0,C ,5.0
2019-02-13,Bandung,29.4,20.2,24.1,10.4,81.0,3.0,1.0,240.0,C ,3.8
2019-02-14,Bandung,31.0,20.5,24.5,0.0,78.0,4.0,2.0,40.0,W ,4.2
2019-02-15,Bandung,29.8,20.2,24.3,27.999999999999996,85.0,3.0,2.0,350.0,W ,8.1
2019-02-16,Bandung,29.2,21.0,23.8,6.6,84.0,3.0,1.0,20.0,C ,5.1
2019-02-17,Bandung,27.8,20.4,22.6,17.4,89.0,3.0,1.0,300.0,C ,4.3
2019-02-18,Bandung,28.6,20.0,23.0,5.2,85.0,2.0,0.0,270.0,C ,3.4
2019-02-19,Bandung,29.4,20.0,23.1,9.2,82.0,2.0,1.0,110.0,C ,3.1
2019-02-20,Bandung,28.0,20.0,23.9,11.5,85.0,2.0,1.0,260.0,C ,4.5
2019-02-21,Bandung,28.3,21.6,23.1,26.5,87.0,4.0,1.0,290.0,C ,1.2
2019-02-22,Bandung,29.2,20.0,22.5,11.5,87.0,5.0,2.0,270.0,C ,2.2
2019-02-23,Bandung,30.4,19.6,23.1,25.3,83.0,4.0,1.0,300.0,C ,4.7
2019-02-24,Bandung,27.6,19.4,22.2,13.6,90.0,2.0,1.0,310.0,C ,4.7
2019-02-25,Bandung,30.2,19.6,24.0,10.5,82.0,4.0,1.0,110.0,C ,3.8
2019-02-26,Bandung,32.0,20.4,25.0,2.9,74.0,6.0,2.0,130.0,SE,5.1
2019-02-27,Bandung,32.8,20.2,25.5,0.0,68.0,4.0,2.0,60.0,NE,9.5
2019-02-28,Bandung,30.0,20.8,24.1,0.0,78.0,5.0,2.0,270.0,W ,5.2
2019-03-01,Bandung,28.2,20.8,23.0,0.4,89.0,3.0,1.0,290.0,C ,5.6
2019-03-02,Bandung,29.8,20.4,23.6,27.999999999999996,82.0,5.0,2.0,240.0,W ,0.9
2019-03-03,Bandung,29.4,20.2,22.8,9.0,87.0,4.0,1.0,290.0,C ,2.8
2019-03-04,Bandung,30.2,20.0,24.5,1.5,78.0,4.0,2.0,290.0,W ,2.1
2019-03-05,Bandung,27.8,20.8,23.5,0.0,83.0,5.0,1.0,210.0,C ,6.9
2019-03-06,Bandung,28.6,21.0,22.0,14.9,90.0,8.0,3.0,290.0,C ,1.7
2019-03-07,Bandung,27.4,19.2,22.3,18.0,80.0,5.0,2.0,280.0,W ,1.0
2019-03-08,Bandung,30.4,19.2,24.4,0.0,80.0,4.0,2.0,240.0,SW,0.8
2019-03-09,Bandung,31.4,20.5,24.2,0.4,78.0,5.0,2.0,290.0,C ,4.7
2019-03-10,Bandung,27.4,18.9,22.6,6.6,77.0,2.0,1.0,270.0,W ,3.8
2019-03-11,Bandung,29.2,19.4,23.1,27.999999999999996,84.0,6.0,2.0,330.0,C ,0.5
2019-03-12,Bandung,29.2,20.2,23.4,1.7,79.0,5.0,2.0,240.0,W ,4.8
2019-03-13,Bandung,30.4,20.4,24.3,0.2,76.0,6.0,2.0,270.0,W ,3.4
2019-03-14,Bandung,31.6,20.6,25.6,0.0,64.0,4.0,2.0,310.0,C ,4.2
2019-03-15,Bandung,30.6,20.8,24.4,27.999999999999996,72.0,5.0,2.0,290.0,C ,6.0
2019-03-16,Bandung,28.8,20.8,23.5,8.0,82.0,3.0,1.0,330.0,C ,6.1
2019-03-17,Bandung,27.0,20.4,22.5,13.2,83.0,4.0,1.0,270.0,C ,2.3
2019-03-18,Bandung,29.0,20.0,23.4,1.2,78.0,5.0,2.0,150.0,C ,0.5
2019-03-19,Bandung,28.0,20.0,23.3,0.0,85.0,4.0,1.0,290.0,C ,2.0
2019-03-20,Bandung,30.0,19.6,23.3,27.7,82.0,4.0,1.0,310.0,NW,1.3
2019-03-21,Bandung,30.4,19.6,23.2,2.6,82.0,6.0,2.0,280.0,W ,6.5
2019-03-22,Bandung,30.8,20.6,24.4,2.0,77.0,5.0,3.0,290.0,W ,5.9
2019-03-23,Bandung,29.6,20.8,25.0,0.0,74.0,5.0,3.0,270.0,W ,7.5
2019-03-24,Bandung,29.0,21.7,24.4,2.6,73.0,5.0,2.0,300.0,NW,6.0
2019-03-25,Bandung,30.6,21.8,24.7,0.0,78.0,5.0,2.0,280.0,C ,1.7
2019-03-26,Bandung,31.4,21.4,24.6,0.2,76.0,3.0,2.0,290.0,W ,5.3
2019-03-27,Bandung,30.2,21.3,24.0,27.999999999999996,83.0,3.0,1.0,110.0,C ,7.4
